week,position,performer,song,instance,previous_position,peak_position,weeks_on_chart
2018-01-06,1,Ed Sheeran,Perfect,2,1,1,17
2018-01-06,2,Post Malone Featuring 21 Savage,Rockstar,1,2,1,14
2018-01-06,3,Camila Cabello Featuring Young Thug,Havana,2,3,2,19
2018-01-06,4,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,1,5,4,15
2018-01-06,5,Imagine Dragons,Thunder,1,6,4,34
2018-01-06,6,Lil Pump,Gucci Gang,1,4,3,15
2018-01-06,7,"Migos, Nicki Minaj & Cardi B",MotorSport,1,7,6,8
2018-01-06,8,Sam Smith,Too Good At Goodbyes,1,8,4,15
2018-01-06,9,Halsey,Bad At Love,1,10,8,16
2018-01-06,10,Cardi B,Bodak Yellow (Money Moves),1,12,1,25
2018-01-06,11,Kendrick Lamar Featuring Zacari,Love.,2,22,11,26
2018-01-06,12,Dua Lipa,New Rules,1,13,12,21
2018-01-06,13,Mariah Carey,All I Want For Christmas Is You,7,9,9,23
2018-01-06,14,Cardi B Featuring 21 Savage,Bartier Cardi,1,-,14,1
2018-01-06,15,6ix9ine,Gummo,1,14,12,6
2018-01-06,16,Post Malone,I Fall Apart,1,16,16,13
2018-01-06,17,NF,Let You Down,1,18,16,10
2018-01-06,18,Khalid,Young Dumb & Broke,1,33,18,23
2018-01-06,19,Ed Sheeran,Shape Of You,1,24,1,50
2018-01-06,20,Demi Lovato,Sorry Not Sorry,1,21,6,24
2018-01-06,21,Maroon 5 Featuring SZA,What Lovers Do,1,17,9,17
2018-01-06,22,Gucci Mane Featuring Migos,I Get The Bag,1,19,11,18
2018-01-06,23,Portugal. The Man,Feel It Still,1,20,4,27
2018-01-06,24,G-Eazy & Halsey,Him & I,1,15,21,3
2018-01-06,25,Imagine Dragons,Believer,1,40,4,46
2018-01-06,26,Bebe Rexha & Florida Georgia Line,Meant To Be,1,28,26,9
2018-01-06,27,Charlie Puth,How Long,1,31,26,11
2018-01-06,28,21 Savage,Bank Account,1,35,12,24
2018-01-06,29,Selena Gomez X Marshmello,Wolves,1,23,20,9
2018-01-06,30,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1,36,1,49
2018-01-06,31,A$AP Ferg Featuring Nicki Minaj,Plain Jane,1,26,31,13
2018-01-06,32,J Balvin & Willy William Featuring Beyonce,Mi Gente,1,25,3,25
2018-01-06,33,SZA,The Weekend,1,29,33,21
2018-01-06,34,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,1,34,3,34
2018-01-06,35,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,1,27,24,17
2018-01-06,36,Brenda Lee,Rockin' Around The Christmas Tree,7,30,34,22
2018-01-06,37,Bruno Mars,That's What I Like,2,48,1,49
2018-01-06,38,Andy Williams,It's The Most Wonderful Time Of The Year,2,32,35,4
2018-01-06,39,Charlie Puth,Attention,1,44,5,35
2018-01-06,40,Taylor Swift Featuring Ed Sheeran & Future,End Game,1,42,39,5
2018-01-06,41,Miguel Featuring Travis Scott,Sky Walker,2,41,35,13
