"DIM1","Vanus","DIM3","Sugu","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"75","75","1","Mehed ja naised","1950","1950",5262,,
"75","75","1","Mehed ja naised","1951","1951",5020,,
"75","75","1","Mehed ja naised","1952","1952",5014,,
"75","75","1","Mehed ja naised","1953","1953",4863,,
"75","75","1","Mehed ja naised","1954","1954",5031,,
"75","75","1","Mehed ja naised","1955","1955",5184,,
"75","75","1","Mehed ja naised","1956","1956",5488,,
"75","75","1","Mehed ja naised","1957","1957",5050,,
"75","75","1","Mehed ja naised","1958","1958",5544,,
"75","75","1","Mehed ja naised","1959","1959",5851,,
"75","75","1","Mehed ja naised","1960","1960",5919,,
"75","75","1","Mehed ja naised","1961","1961",6182,,
"75","75","1","Mehed ja naised","1962","1962",6330,,
"75","75","1","Mehed ja naised","1963","1963",5746,,
"75","75","1","Mehed ja naised","1964","1964",6703,,
"75","75","1","Mehed ja naised","1965","1965",6449,,
"75","75","1","Mehed ja naised","1966","1966",6721,,
"75","75","1","Mehed ja naised","1967","1967",6649,,
"75","75","1","Mehed ja naised","1968","1968",6849,,
"75","75","1","Mehed ja naised","1969","1969",6649,,
"75","75","1","Mehed ja naised","1970","1970",6698,,
"75","75","1","Mehed ja naised","1971","1971",7194,,
"75","75","1","Mehed ja naised","1972","1972",7133,,
"75","75","1","Mehed ja naised","1973","1973",7229,,
"75","75","1","Mehed ja naised","1974","1974",7842,,
"75","75","1","Mehed ja naised","1975","1975",7895,,
"75","75","1","Mehed ja naised","1976","1976",8661,,
"75","75","1","Mehed ja naised","1977","1977",8250,,
"75","75","1","Mehed ja naised","1978","1978",8807,,
"75","75","1","Mehed ja naised","1979","1979",8795,,
"75","75","1","Mehed ja naised","1980","1980",8703,,
"75","75","1","Mehed ja naised","1981","1981",8569,,
"75","75","1","Mehed ja naised","1982","1982",9081,,
"75","75","1","Mehed ja naised","1983","1983",8937,,
"75","75","1","Mehed ja naised","1984","1984",8920,,
"75","75","1","Mehed ja naised","1985","1985",9122,,
"75","75","1","Mehed ja naised","1986","1986",9400,,
"75","75","1","Mehed ja naised","1987","1987",9231,,
"75","75","1","Mehed ja naised","1988","1988",9527,,
"75","75","1","Mehed ja naised","1989","1989",8918,,
"75","75","1","Mehed ja naised","1990","1990",8931,,
"75","75","1","Mehed ja naised","1991","1991",7560,,
"75","75","1","Mehed ja naised","1992","1992",6131,,
"75","75","1","Mehed ja naised","1993","1993",5425,,
"75","75","1","Mehed ja naised","1994","1994",7178,,
"75","75","1","Mehed ja naised","1995","1995",6453,,
"75","75","1","Mehed ja naised","1996","1996",6837,,
"75","75","1","Mehed ja naised","1997","1997",8427,,
"75","75","1","Mehed ja naised","1998","1998",8844,,
"75","75","1","Mehed ja naised","1999","1999",9482,,
"31","31","2","Mehed","1950","1950",4990,,
"31","31","2","Mehed","1951","1951",4293,,
"31","31","2","Mehed","1952","1952",5269,,
"31","31","2","Mehed","1953","1953",5537,,
"31","31","2","Mehed","1954","1954",6157,,
"31","31","2","Mehed","1955","1955",6845,,
"31","31","2","Mehed","1956","1956",6785,,
"31","31","2","Mehed","1957","1957",7180,,
"31","31","2","Mehed","1958","1958",8473,,
"31","31","2","Mehed","1959","1959",9185,,
"31","31","2","Mehed","1960","1960",10171,,
"31","31","2","Mehed","1961","1961",9942,,
"31","31","2","Mehed","1962","1962",10746,,
"31","31","2","Mehed","1963","1963",10221,,
"31","31","2","Mehed","1964","1964",10405,,
"31","31","2","Mehed","1965","1965",9469,,
"31","31","2","Mehed","1966","1966",9527,,
"31","31","2","Mehed","1967","1967",10133,,
"31","31","2","Mehed","1968","1968",10410,,
"31","31","2","Mehed","1969","1969",11508,,
"31","31","2","Mehed","1970","1970",11276,,
"31","31","2","Mehed","1971","1971",11462,,
"31","31","2","Mehed","1972","1972",10733,,
"31","31","2","Mehed","1973","1973",11846,,
"31","31","2","Mehed","1974","1974",9566,,
"31","31","2","Mehed","1975","1975",8072,,
"31","31","2","Mehed","1976","1976",8038,,
"31","31","2","Mehed","1977","1977",8059,,
"31","31","2","Mehed","1978","1978",10151,,
"31","31","2","Mehed","1979","1979",10512,,
"31","31","2","Mehed","1980","1980",11204,,
"31","31","2","Mehed","1981","1981",11811,,
"31","31","2","Mehed","1982","1982",11370,,
"31","31","2","Mehed","1983","1983",11632,,
"31","31","2","Mehed","1984","1984",11590,,
"31","31","2","Mehed","1985","1985",11536,,
"31","31","2","Mehed","1986","1986",12152,,
"31","31","2","Mehed","1987","1987",12261,,
"31","31","2","Mehed","1988","1988",12065,,
"31","31","2","Mehed","1989","1989",11910,,
"31","31","2","Mehed","1990","1990",11998,,
"31","31","2","Mehed","1991","1991",12012,,
"31","31","2","Mehed","1992","1992",11952,,
"31","31","2","Mehed","1993","1993",11243,,
"31","31","2","Mehed","1994","1994",10747,,
"31","31","2","Mehed","1995","1995",9835,,
"31","31","2","Mehed","1996","1996",9608,,
"31","31","2","Mehed","1997","1997",8895,,
"31","31","2","Mehed","1998","1998",8678,,
"31","31","2","Mehed","1999","1999",8383,,
"32","32","1","Mehed ja naised","1950","1950",8518,,
"32","32","1","Mehed ja naised","1951","1951",12823,,
"32","32","1","Mehed ja naised","1952","1952",11156,,
"32","32","1","Mehed ja naised","1953","1953",13610,,
