Age,Gender,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
0,All,19310,18841,19356,19563,19239,20441,20038,19242,19022,18986,19610,19854,20027,19766,19089,19492,18683,18444,18638,19686,19309,21263,21756,21591,20889,21278,21263,21560,21913,21348,21731,22088,22717,22904,23819,23939,23516,23831,24849,24601,24006,22041,18956,17571,14794,13760,13192,12981,12326,11911
0,Female,9303,9042,9298,9458,9260,9835,9784,9326,9173,9199,9527,9674,9881,9473,9269,9363,9186,8998,9233,9559,9458,10484,10519,10530,10172,10481,10307,10659,10655,10542,10481,10746,11003,11192,11644,11807,11588,11610,12043,12189,11637,10689,9224,8545,7116,6756,6430,6320,5931,5761
0,Male,10007,9799,10058,10105,9979,10606,10254,9916,9849,9787,10083,10180,10146,10293,9820,10129,9497,9446,9405,10127,9851,10779,11237,11061,10717,10797,10956,10901,11258,10806,11250,11342,11714,11712,12175,12132,11928,12221,12806,12412,12369,11352,9732,9026,7678,7004,6762,6661,6395,6150
1,All,18162,18251,17743,18368,19069,18473,19534,19631,18649,18405,19030,19601,20071,20241,20021,19257,19734,18855,18538,18794,19954,19862,21737,22032,21987,21253,21641,21554,21836,22182,21537,21974,22260,22829,23061,23961,24054,23746,23989,24888,24542,23858,21841,18506,17332,14589,13602,13053,12839,12178
1,Female,8856,8889,8609,8910,9291,8939,9473,9644,9121,8927,9228,9577,9823,9993,9621,9353,9495,9232,9028,9336,9690,9735,10685,10652,10746,10328,10644,10500,10791,10816,10601,10608,10851,11071,11260,11715,11853,11738,11715,12091,12179,11577,10587,8995,8441,7019,6686,6372,6253,5855
1,Male,9306,9362,9134,9458,9778,9534,10061,9987,9528,9478,9802,10024,10248,10248,10400,9904,10239,9623,9510,9458,10264,10127,11052,11380,11241,10925,10997,11054,11045,11366,10936,11366,11409,11758,11801,12246,12201,12008,12274,12797,12363,12281,11254,9511,8891,7570,6916,6681,6586,6323
2,All,16928,18209,18295,17744,18500,19103,18466,19519,19683,18683,18483,19011,19725,20238,20313,20211,19355,19802,18878,18687,18941,20134,20094,21861,22132,22128,21337,21700,21700,21933,22244,21711,22123,22480,22949,23090,24145,24255,23896,23978,24871,24387,23633,21220,18196,17140,14471,13487,12946,12746
2,Female,8178,8863,8882,8595,8948,9289,8932,9513,9662,9135,8950,9207,9630,9895,10028,9711,9406,9528,9272,9108,9389,9771,9838,10770,10727,10808,10372,10659,10612,10853,10851,10690,10735,10968,11131,11328,11808,11981,11813,11693,12085,12087,11454,10279,8854,8352,6966,6628,6326,6210
2,Male,8750,9346,9413,9149,9552,9814,9534,10006,10021,9548,9533,9804,10095,10343,10285,10500,9949,10274,9606,9579,9552,10363,10256,11091,11405,11320,10965,11041,11088,11080,11393,11021,11388,11512,11818,11762,12337,12274,12083,12285,12786,12300,12179,10941,9342,8788,7505,6859,6620,6536
3,All,16540,17059,18271,18355,17880,18551,19106,18515,19559,19703,18678,18493,19172,19921,20270,20454,20249,19416,19802,18912,18828,19007,20364,20289,21905,22136,22214,21388,21773,21755,21976,22304,21856,22182,22601,22950,23204,24314,24349,23927,23936,24683,24161,22828,20795,17947,16987,14375,13414,12868
