Motherboard,CPU socket,Form factor,RAM slots,Max RAM,Price
Asus Prime Z370-A,LGA1151,ATX,4,64 GB,$173.98
MSI B350 PC MATE,AM4,ATX,4,64 GB,$85.49
MSI Z370-A PRO,LGA1151,ATX,4,64 GB,$109.99
Gigabyte B450M DS3H,AM4,Micro ATX,4,64 GB,$76.88
MSI B450 TOMAHAWK,AM4,ATX,4,64 GB,$110.33
Asus ROG STRIX Z390-E GAMING,LGA1151,ATX,4,64 GB,$235.99
Asus STRIX B350-F GAMING,AM4,ATX,4,64 GB,$115.53
Asus ROG STRIX B450-F GAMING,AM4,ATX,4,64 GB,$129.00
ASRock B450M-HDV,AM4,Micro ATX,2,32 GB,$79.89
Gigabyte X470 AORUS ULTRA GAMING,AM4,ATX,4,64 GB,$119.99
ASRock B450 Pro4,AM4,ATX,4,64 GB,$93.88
MSI Z370 GAMING PLUS,LGA1151,ATX,4,64 GB,$119.99
MSI B450 GAMING PRO CARBON AC,AM4,ATX,4,64 GB,$139.99
Asus PRIME B450M-A/CSM,AM4,Micro ATX,4,64 GB,$68.99
Gigabyte B360M DS3H,LGA1151,Micro ATX,4,64 GB,$59.99
Asus ROG MAXIMUS XI HERO (WI-FI),LGA1151,ATX,4,64 GB,$275.98
MSI Z390-A PRO,LGA1151,ATX,4,64 GB,$129.99
Asus PRIME Z390-A,LGA1151,ATX,4,64 GB,$182.90
Asus Prime X470-Pro,AM4,ATX,4,64 GB,$161.89
ASRock B450M PRO4,AM4,Micro ATX,4,64 GB,$82.68
ASRock AB350 Pro4,AM4,ATX,4,64 GB,$73.88
Gigabyte GA-AB350-GAMING 3,AM4,ATX,4,64 GB,$74.89
Gigabyte Z390 AORUS PRO WIFI,LGA1151,ATX,4,64 GB,$192.99
MSI B350M GAMING PRO,AM4,Micro ATX,2,32 GB,$78.98
Asus ROG STRIX X470-F Gaming,AM4,ATX,4,64 GB,$188.90
MSI X470 GAMING PLUS,AM4,ATX,4,64 GB,$129.56
Asus ROG STRIX Z390-I GAMING,LGA1151,Mini ITX,2,32 GB,$198.79
Asus ROG Strix B450-I Gaming,AM4,Mini ITX,2,32 GB,$152.01
MSI B450I GAMING PLUS AC,AM4,Mini ITX,2,32 GB,$119.99
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),AM4,ATX,4,64 GB,$119.89
Asus PRIME A320M-K,AM4,Micro ATX,2,32 GB,$62.58
MSI B450M GAMING PLUS,AM4,Micro ATX,2,32 GB,$84.99
Gigabyte Z370P D3,LGA1151,ATX,4,64 GB,$103.88
Asus M5A78L-M PLUS/USB3,AM3+,Micro ATX,4,32 GB,$64.40
ASRock AB350M,AM4,Micro ATX,2,32 GB,$63.88
MSI MPG Z390 GAMING EDGE AC,LGA1151,ATX,4,64 GB,$159.99
Asus ROG STRIX Z370-F GAMING,LGA1151,ATX,4,64 GB,$204.99
Gigabyte B450 I AORUS PRO WIFI,AM4,Mini ITX,2,32 GB,$119.99
MSI MEG Z390 GODLIKE,LGA1151,EATX,4,64 GB,$564.99
MSI B450 Gaming Plus,AM4,ATX,4,64 GB,$99.99
