date,AAPL,GOOGL,MSFT
2015-01-02,103.8847,532.6,42.5088
2015-01-05,100.9936,527.15,42.2446
2015-01-06,99.3615,520.5,42.2537
2015-01-07,99.977,510.95,41.8893
2015-01-08,101.8702,501.51,42.5908
2015-01-09,105.0784,508.18,43.3743
2015-01-12,105.0131,499.24,43.2012
2015-01-13,103.922,502.57,42.7912
2015-01-14,101.693,500.42,41.871
2015-01-15,102.5883,508.89,42.1079
2015-01-16,99.8184,503.15,41.2789
2015-01-20,100.5739,512.77,42.1808
2015-01-21,101.6091,510.84,41.8528
2015-01-22,102.8308,523.0,42.2537
2015-01-23,104.7334,538.03,43.1465
2015-01-26,106.0763,541.5,42.8185
2015-01-27,104.8453,531.4,39.1288
2015-01-28,109.6996,525.0,38.9375
2015-01-29,108.4825,512.9,37.2886
2015-01-30,110.4224,519.0,37.8534
2015-02-02,110.0959,534.32,36.9788
2015-02-03,110.5156,529.94,37.9263
2015-02-04,110.5156,533.14,38.2087
2015-02-05,112.3749,527.93,38.4638
2015-02-06,112.3749,531.01,38.8829
2015-02-09,110.9986,531.06,38.482
2015-02-10,112.5154,532.15,38.9375
2015-02-11,114.9498,539.73,38.8555
2015-02-12,118.0302,539.66,38.8646
2015-02-13,119.1725,547.51,39.5206
2015-02-17,119.3691,551.16,40.3432
2015-02-18,119.4955,543.82,40.0312
2015-02-19,120.2961,542.47,39.6183
2015-02-20,120.4271,547.58,39.9211
2015-02-23,121.738,539.0,40.0954
2015-02-24,124.472,531.55,40.5083
2015-02-25,123.1799,538.44,40.3248
2015-02-26,120.5816,545.74,40.3615
2015-02-27,121.7192,558.15,40.49
2015-03-02,121.017,567.0,40.0679
2015-03-03,120.7455,576.35,39.967
2015-03-04,120.8766,576.97,39.4623
2015-03-05,120.3897,579.62,39.5174
2015-03-06,120.2212,582.0,39.4532
2015-03-09,119.8092,570.92,38.71
2015-03-10,118.3579,568.475,38.8568
2015-03-11,116.8037,559.8,38.8201
2015-03-12,114.5191,558.48,37.9209
2015-03-13,116.4759,559.23,37.3429
2015-03-16,115.9891,556.93,38.0494
2015-03-17,117.8804,558.29,37.9576
2015-03-18,118.9103,557.73,38.0127
2015-03-19,120.5489,564.52,38.7742
2015-03-20,120.0807,566.71,39.0495
2015-03-23,119.0227,566.0,39.3431
2015-03-24,119.1257,568.54,39.2513
2015-03-25,118.4796,577.57,39.3798
2015-03-26,114.9404,564.65,37.82
2015-03-27,116.6351,561.83,37.7282
2015-03-30,116.1482,560.25,37.7099
2015-03-31,118.0583,557.94,37.4163
2015-04-01,116.8692,554.83,37.2511
2015-04-02,117.0658,547.41,37.3062
2015-04-06,116.5415,538.84,37.0126
2015-04-07,119.5096,544.99,38.1778
2015-04-08,117.8336,546.0,38.0402
2015-04-09,117.8336,549.21,37.8475
2015-04-10,117.9272,549.57,38.1962
2015-04-13,120.1931,547.05,37.9851
2015-04-14,118.9103,546.57,38.3521
2015-04-15,118.3579,537.96,38.3154
2015-04-16,118.2362,538.35,38.4898
2015-04-17,117.5527,537.31,38.2329
2015-04-20,117.5714,533.75,38.2879
2015-04-21,119.9403,546.31,39.4532
2015-04-22,118.901,543.06,39.1504
2015-04-23,120.1275,550.41,39.3522
2015-04-24,122.178,580.05,41.8938
2015-04-27,123.8821,572.77,43.3343
2015-04-28,125.8905,564.32,43.8389
2015-04-29,121.869,560.51,44.7014
2015-04-30,119.3785,558.56,44.683
2015-05-01,118.0677,550.51,44.5729
2015-05-04,121.2511,550.99,44.3802
2015-05-05,119.9871,550.16,43.8756
2015-05-06,118.4984,542.64,43.6462
2015-05-07,117.3104,535.9,42.4534
2015-05-08,119.1062,548.87,43.6279
2015-05-11,119.7737,548.49,43.6279
2015-05-12,118.0908,542.81,42.9856
2015-05-13,118.6079,540.47,44.2151
2015-05-14,119.7926,543.97,44.0684
2015-05-15,121.3533,550.39,44.839
2015-05-18,120.7046,543.82,44.0224
2015-05-19,122.8765,548.0,43.9206
2015-05-20,122.2277,550.92,43.7636
2015-05-21,122.2935,550.2,43.6621
2015-05-22,123.732,554.46,43.6805
2015-05-26,124.6723,552.58,43.2465
2015-05-27,122.5474,548.68,43.2373
2015-05-28,123.9765,553.79,43.8652
2015-05-29,123.3842,553.2,43.8006
2015-06-01,123.356,548.73,43.4589
2015-06-02,122.0961,547.43,43.3388
2015-06-03,122.8482,555.1,43.7452
2015-06-04,121.8328,552.18,43.2096
2015-06-05,121.7576,552.0,42.7663
2015-06-08,121.1935,549.61,42.7571
2015-06-09,119.125,543.42,42.2584
2015-06-10,120.2721,545.7,42.2861
2015-06-11,121.4567,554.49,43.0895
2015-06-12,120.5212,547.15,42.6832
2015-06-15,118.5609,542.73,41.9721
2015-06-16,119.4353,544.48,41.8797
2015-06-17,120.084,545.42,42.2307
2015-06-18,119.6233,548.0,42.6832
2015-06-19,120.0746,556.52,43.2096
2015-06-22,119.8678,559.41,42.7848
2015-06-23,119.8584,559.79,42.6001
2015-06-24,119.6045,562.48,42.1753
2015-06-25,121.1559,560.3,42.5077
2015-06-26,120.037,559.71,42.1568
2015-06-29,117.9591,546.75,41.5935
2015-06-30,118.0626,545.09,41.2887
2015-07-01,119.313,543.66,41.0579
2015-07-02,118.8711,544.74,41.0763
2015-07-06,117.4702,542.25,40.5961
2015-07-07,118.3634,547.43,40.947
2015-07-08,117.0377,545.6,41.0394
2015-07-09,116.4454,548.65,41.3257
2015-07-10,114.6496,553.71,41.5658
