method,size,type,source,dim,fit,error,accuracy
LR,10,test,00,large,bad,50.28,49.72
LR,10,test,01,large,good,30.45,69.55
LR,10,test,10,small,bad,49.19,50.81
LR,10,test,11,small,good,49.37,50.63
LR,10,train,00,large,bad,10.0,90.0
LR,10,train,01,large,good,0.0,100.0
LR,10,train,10,small,bad,20.0,80.0
LR,10,train,11,small,good,30.0,70.0
LR,50,test,00,large,bad,49.29,50.71
LR,50,test,01,large,good,25.59,74.41
LR,50,test,10,small,bad,50.12,49.88
LR,50,test,11,small,good,25.0,75.0
LR,50,train,00,large,bad,26.0,74.0
LR,50,train,01,large,good,12.0,88.0
LR,50,train,10,small,bad,36.0,64.0
LR,50,train,11,small,good,24.0,76.0
LR,100,test,00,large,bad,49.18,50.82
LR,100,test,01,large,good,24.71,75.29
LR,100,test,10,small,bad,49.04,50.96
LR,100,test,11,small,good,25.0,75.0
LR,100,train,00,large,bad,32.0,68.0
LR,100,train,01,large,good,13.0,87.0
LR,100,train,10,small,bad,40.0,60.0
LR,100,train,11,small,good,22.0,78.0
LR,200,test,00,large,bad,50.22,49.78
LR,200,test,01,large,good,25.01,74.99
LR,200,test,10,small,bad,50.81,49.19
LR,200,test,11,small,good,24.89,75.11
LR,200,train,00,large,bad,38.0,62.0
LR,200,train,01,large,good,20.0,80.0
LR,200,train,10,small,bad,42.0,58.0
LR,200,train,11,small,good,21.5,78.5
LR,300,test,00,large,bad,49.84,50.16
LR,300,test,01,large,good,25.02,74.98
LR,300,test,10,small,bad,49.19,50.81
LR,300,test,11,small,good,25.08,74.92
LR,300,train,00,large,bad,43.33,56.67
LR,300,train,01,large,good,17.0,83.0
LR,300,train,10,small,bad,46.33,53.67
LR,300,train,11,small,good,24.0,76.0
LR,400,test,00,large,bad,49.44,50.56
LR,400,test,01,large,good,24.26,75.74
LR,400,test,10,small,bad,49.88,50.12
LR,400,test,11,small,good,24.89,75.11
LR,400,train,00,large,bad,38.75,61.25
LR,400,train,01,large,good,19.75,80.25
LR,400,train,10,small,bad,47.5,52.5
LR,400,train,11,small,good,23.5,76.5
LR,500,test,00,large,bad,49.58,50.42
LR,500,test,01,large,good,24.38,75.62
LR,500,test,10,small,bad,49.94,50.06
LR,500,test,11,small,good,25.08,74.92
LR,500,train,00,large,bad,46.4,53.6
LR,500,train,01,large,good,19.8,80.2
LR,500,train,10,small,bad,47.8,52.2
LR,500,train,11,small,good,23.0,77.0
LR,600,test,00,large,bad,49.92,50.08
LR,600,test,01,large,good,24.58,75.42
LR,600,test,10,small,bad,49.19,50.81
LR,600,test,11,small,good,24.97,75.03
LR,600,train,00,large,bad,41.0,59.0
LR,600,train,01,large,good,21.33,78.67
LR,600,train,10,small,bad,45.67,54.33
LR,600,train,11,small,good,24.83,75.17
LR,700,test,00,large,bad,48.15,51.85
LR,700,test,01,large,good,24.96,75.04
LR,700,test,10,small,bad,49.25,50.75
LR,700,test,11,small,good,25.0,75.0
LR,700,train,00,large,bad,42.57,57.43
LR,700,train,01,large,good,22.14,77.86
LR,700,train,10,small,bad,46.29,53.71
LR,700,train,11,small,good,21.71,78.29
LR,800,test,00,large,bad,50.16,49.84
LR,800,test,01,large,good,24.63,75.37
LR,800,test,10,small,bad,49.19,50.81
LR,800,test,11,small,good,25.0,75.0
LR,800,train,00,large,bad,43.88,56.12
LR,800,train,01,large,good,23.0,77.0
LR,800,train,10,small,bad,45.25,54.75
LR,800,train,11,small,good,22.0,78.0
LR,900,test,00,large,bad,49.01,50.99
LR,900,test,01,large,good,25.17,74.83
LR,900,test,10,small,bad,49.25,50.75
LR,900,test,11,small,good,25.0,75.0
LR,900,train,00,large,bad,46.78,53.22
LR,900,train,01,large,good,21.67,78.33
LR,900,train,10,small,bad,46.33,53.67
LR,900,train,11,small,good,23.56,76.44
LR,1000,test,00,large,bad,49.31,50.69
LR,1000,test,01,large,good,24.52,75.48
LR,1000,test,10,small,bad,49.19,50.81
LR,1000,test,11,small,good,25.0,75.0
LR,1000,train,00,large,bad,46.1,53.9
LR,1000,train,01,large,good,22.1,77.9
LR,1000,train,10,small,bad,47.7,52.3
LR,1000,train,11,small,good,23.5,76.5
LR,2000,test,00,large,bad,49.69,50.31
LR,2000,test,01,large,good,25.04,74.96
LR,2000,test,10,small,bad,49.04,50.96
LR,2000,test,11,small,good,24.97,75.03
LR,2000,train,00,large,bad,46.0,54.0
LR,2000,train,01,large,good,21.8,78.2
LR,2000,train,10,small,bad,46.45,53.55
LR,2000,train,11,small,good,23.75,76.25
LR,3000,test,00,large,bad,47.93,52.07
LR,3000,test,01,large,good,24.84,75.16
LR,3000,test,10,small,bad,49.19,50.81
LR,3000,test,11,small,good,25.0,75.0
LR,3000,train,00,large,bad,45.43,54.57
LR,3000,train,01,large,good,22.27,77.73
LR,3000,train,10,small,bad,48.13,51.87
LR,3000,train,11,small,good,24.17,75.83
LR,4000,test,00,large,bad,48.83,51.17
LR,4000,test,01,large,good,24.36,75.64
LR,4000,test,10,small,bad,49.19,50.81
LR,4000,test,11,small,good,24.97,75.03
LR,4000,train,00,large,bad,47.1,52.9
LR,4000,train,01,large,good,24.08,75.92
LR,4000,train,10,small,bad,47.38,52.62
LR,4000,train,11,small,good,24.18,75.82
LR,5000,test,00,large,bad,48.9,51.1
LR,5000,test,01,large,good,24.34,75.66
LR,5000,test,10,small,bad,49.19,50.81
LR,5000,test,11,small,good,25.08,74.92
LR,5000,train,00,large,bad,47.88,52.12
LR,5000,train,01,large,good,24.44,75.56
LR,5000,train,10,small,bad,49.02,50.98
LR,5000,train,11,small,good,24.64,75.36
MV,10,test,00,large,bad,50.04,49.96
MV,10,test,01,large,good,49.25,50.75
MV,10,test,10,small,bad,49.19,50.81
MV,10,test,11,small,good,49.48,50.52
MV,10,train,00,large,bad,0.0,100.0
MV,10,train,01,large,good,0.0,100.0
MV,10,train,10,small,bad,20.0,80.0
MV,10,train,11,small,good,20.0,80.0
MV,50,test,00,large,bad,50.02,49.98
MV,50,test,01,large,good,49.19,50.81
MV,50,test,10,small,bad,50.12,49.88
MV,50,test,11,small,good,25.0,75.0
MV,50,train,00,large,bad,0.0,100.0
MV,50,train,01,large,good,0.0,100.0
MV,50,train,10,small,bad,36.0,64.0
MV,50,train,11,small,good,24.0,76.0
MV,100,test,00,large,bad,50.1,49.9
MV,100,test,01,large,good,49.23,50.77
MV,100,test,10,small,bad,49.04,50.96
MV,100,test,11,small,good,25.0,75.0
MV,100,train,00,large,bad,0.0,100.0
MV,100,train,01,large,good,0.0,100.0
MV,100,train,10,small,bad,40.0,60.0
MV,100,train,11,small,good,22.0,78.0
MV,200,test,00,large,bad,50.02,49.98
MV,200,test,01,large,good,49.18,50.82
MV,200,test,10,small,bad,50.81,49.19
MV,200,test,11,small,good,24.89,75.11
MV,200,train,00,large,bad,0.0,100.0
MV,200,train,01,large,good,0.0,100.0
MV,200,train,10,small,bad,42.0,58.0
MV,200,train,11,small,good,21.5,78.5
MV,300,test,00,large,bad,50.1,49.9
MV,300,test,01,large,good,49.15,50.85
MV,300,test,10,small,bad,50.21,49.79
MV,300,test,11,small,good,24.97,75.03
MV,300,train,00,large,bad,1.33,98.67
MV,300,train,01,large,good,0.0,100.0
MV,300,train,10,small,bad,45.67,54.33
MV,300,train,11,small,good,24.0,76.0
MV,400,test,00,large,bad,50.08,49.92
MV,400,test,01,large,good,49.01,50.99
MV,400,test,10,small,bad,50.9,49.1
MV,400,test,11,small,good,24.89,75.11
MV,400,train,00,large,bad,0.75,99.25
MV,400,train,01,large,good,0.0,100.0
MV,400,train,10,small,bad,47.25,52.75
MV,400,train,11,small,good,23.5,76.5
MV,500,test,00,large,bad,50.02,49.98
MV,500,test,01,large,good,48.97,51.03
MV,500,test,10,small,bad,49.88,50.12
MV,500,test,11,small,good,25.08,74.92
MV,500,train,00,large,bad,0.2,99.8
MV,500,train,01,large,good,0.2,99.8
MV,500,train,10,small,bad,47.6,52.4
MV,500,train,11,small,good,23.0,77.0
MV,600,test,00,large,bad,50.07,49.93
MV,600,test,01,large,good,48.82,51.18
MV,600,test,10,small,bad,49.19,50.81
MV,600,test,11,small,good,24.97,75.03
MV,600,train,00,large,bad,0.67,99.33
MV,600,train,01,large,good,0.67,99.33
MV,600,train,10,small,bad,45.67,54.33
MV,600,train,11,small,good,24.83,75.17
MV,700,test,00,large,bad,49.87,50.13
MV,700,test,01,large,good,48.73,51.27
MV,700,test,10,small,bad,49.25,50.75
MV,700,test,11,small,good,25.0,75.0
MV,700,train,00,large,bad,0.29,99.71
MV,700,train,01,large,good,0.14,99.86
MV,700,train,10,small,bad,46.29,53.71
MV,700,train,11,small,good,21.71,78.29
MV,800,test,00,large,bad,49.81,50.19
MV,800,test,01,large,good,48.7,51.3
MV,800,test,10,small,bad,49.19,50.81
MV,800,test,11,small,good,25.0,75.0
MV,800,train,00,large,bad,0.25,99.75
MV,800,train,01,large,good,0.25,99.75
MV,800,train,10,small,bad,45.25,54.75
MV,800,train,11,small,good,22.0,78.0
MV,900,test,00,large,bad,50.15,49.85
MV,900,test,01,large,good,48.7,51.3
MV,900,test,10,small,bad,49.19,50.81
MV,900,test,11,small,good,25.0,75.0
MV,900,train,00,large,bad,0.33,99.67
MV,900,train,01,large,good,0.22,99.78
MV,900,train,10,small,bad,46.11,53.89
MV,900,train,11,small,good,23.56,76.44
MV,1000,test,00,large,bad,49.87,50.13
MV,1000,test,01,large,good,48.42,51.58
MV,1000,test,10,small,bad,49.19,50.81
MV,1000,test,11,small,good,25.0,75.0
MV,1000,train,00,large,bad,0.7,99.3
MV,1000,train,01,large,good,0.7,99.3
MV,1000,train,10,small,bad,47.7,52.3
MV,1000,train,11,small,good,23.5,76.5
MV,2000,test,00,large,bad,49.92,50.08
MV,2000,test,01,large,good,47.72,52.28
MV,2000,test,10,small,bad,49.04,50.96
MV,2000,test,11,small,good,24.97,75.03
MV,2000,train,00,large,bad,1.3,98.7
MV,2000,train,01,large,good,0.9,99.1
MV,2000,train,10,small,bad,46.45,53.55
MV,2000,train,11,small,good,23.75,76.25
MV,3000,test,00,large,bad,49.87,50.13
MV,3000,test,01,large,good,47.36,52.64
MV,3000,test,10,small,bad,49.25,50.75
MV,3000,test,11,small,good,25.0,75.0
MV,3000,train,00,large,bad,2.03,97.97
MV,3000,train,01,large,good,1.27,98.73
MV,3000,train,10,small,bad,47.43,52.57
MV,3000,train,11,small,good,24.17,75.83
MV,4000,test,00,large,bad,49.79,50.21
MV,4000,test,01,large,good,46.48,53.52
MV,4000,test,10,small,bad,49.19,50.81
MV,4000,test,11,small,good,24.97,75.03
MV,4000,train,00,large,bad,3.12,96.88
MV,4000,train,01,large,good,1.58,98.42
MV,4000,train,10,small,bad,47.38,52.62
MV,4000,train,11,small,good,24.18,75.82
MV,5000,test,00,large,bad,50.21,49.79
MV,5000,test,01,large,good,45.91,54.09
MV,5000,test,10,small,bad,49.19,50.81
MV,5000,test,11,small,good,25.08,74.92
MV,5000,train,00,large,bad,3.58,96.42
MV,5000,train,01,large,good,1.6,98.4
MV,5000,train,10,small,bad,49.02,50.98
MV,5000,train,11,small,good,24.64,75.36
